timestamp,value
2025-09-01T10:01:29,4.99
2025-09-01T10:01:30,4.96
2025-09-01T10:01:31,4.93
2025-09-01T10:01:32,4.99
2025-09-01T10:01:34,4.89
2025-09-01T10:01:35,5.07
2025-09-01T10:01:36,4.95
2025-09-01T10:01:37,4.85
2025-09-01T10:01:38,5.00
2025-09-01T10:01:39,5.00
2025-09-01T10:01:40,4.98
2025-09-01T10:01:41,5.04
2025-09-01T10:01:42,5.09
2025-09-01T10:01:43,4.97
2025-09-01T10:01:44,4.91
2025-09-01T10:01:46,4.96
2025-09-01T10:01:47,4.93
2025-09-01T10:01:48,5.08
2025-09-01T10:01:49,4.99
2025-09-01T10:01:50,4.96
2025-09-01T10:01:51,4.97
2025-09-01T10:01:52,4.95
2025-09-01T10:01:53,4.96
2025-09-01T10:01:54,4.95
2025-09-01T10:01:55,5.04
2025-09-01T10:01:56,4.92
2025-09-01T10:01:57,4.99
2025-09-01T10:01:58,4.93
2025-09-01T10:01:59,5.07
2025-09-01T10:02:00,4.92
2025-09-01T10:02:01,4.99
2025-09-01T10:02:02,5.04
2025-09-01T10:02:03,5.05
2025-09-01T10:02:04,4.97
2025-09-01T10:02:05,5.03
2025-09-01T10:02:06,4.87
2025-09-01T10:02:07,5.58
2025-09-01T10:02:08,5.03
2025-09-01T10:02:09,4.97
2025-09-01T10:02:10,5.01
2025-09-01T10:02:11,4.98
2025-09-01T10:02:12,5.03
2025-09-01T10:02:13,4.98
2025-09-01T10:02:14,4.95
2025-09-01T10:02:15,4.91
2025-09-01T10:02:16,5.49
2025-09-01T10:02:17,5.15
2025-09-01T10:02:18,5.00
2025-09-01T10:02:19,5.03
2025-09-01T10:02:20,5.03
2025-09-01T10:02:21,4.98
2025-09-01T10:02:22,5.15
2025-09-01T10:02:23,4.86
2025-09-01T10:02:24,4.96
2025-09-01T10:02:25,5.06
2025-09-01T10:02:26,5.10
2025-09-01T10:02:27,5.01
2025-09-01T10:02:28,4.90
2025-09-01T10:02:29,5.03
2025-09-01T10:02:30,4.99
2025-09-01T10:02:31,4.88
2025-09-01T10:02:32,4.98
2025-09-01T10:02:33,5.41
2025-09-01T10:02:34,4.98
2025-09-01T10:02:35,5.00
2025-09-01T10:02:37,5.09
2025-09-01T10:02:38,5.07
2025-09-01T10:02:39,4.93
2025-09-01T10:02:40,5.03
2025-09-01T10:02:41,4.99
2025-09-01T10:02:42,5.00
2025-09-01T10:02:43,4.97
2025-09-01T10:02:44,4.97
2025-09-01T10:02:45,5.05
2025-09-01T10:02:46,5.10
2025-09-01T10:02:47,5.04
2025-09-01T10:02:48,4.96
2025-09-01T10:02:49,4.96
2025-09-01T10:02:50,5.10
2025-09-01T10:02:51,5.05
2025-09-01T10:02:52,5.13
2025-09-01T10:02:53,5.06
2025-09-01T10:02:55,5.02
2025-09-01T10:02:56,5.00
2025-09-01T10:02:57,5.09
2025-09-01T10:02:58,4.93
2025-09-01T10:03:00,5.00
2025-09-01T10:03:01,5.03
2025-09-01T10:03:02,5.14
2025-09-01T10:03:03,5.05
2025-09-01T10:03:05,5.06
2025-09-01T10:03:06,5.03
2025-09-01T10:03:07,5.01
2025-09-01T10:03:08,5.04
2025-09-01T10:03:09,5.09
2025-09-01T10:03:10,5.02
2025-09-01T10:03:11,5.05
2025-09-01T10:03:13,4.96
2025-09-01T10:03:14,5.08
2025-09-01T10:03:15,4.96
2025-09-01T10:03:16,5.02
2025-09-01T10:03:17,5.07
2025-09-01T10:03:18,5.14
2025-09-01T10:03:19,5.02
2025-09-01T10:03:20,5.05
2025-09-01T10:03:21,5.16
2025-09-01T10:03:22,5.02
2025-09-01T10:03:23,5.09
2025-09-01T10:03:24,5.09
2025-09-01T10:03:25,4.94
2025-09-01T10:03:26,4.97
2025-09-01T10:03:27,5.07
2025-09-01T10:03:28,5.12
2025-09-01T10:03:29,4.97
2025-09-01T10:03:31,5.09
2025-09-01T10:03:32,5.05
2025-09-01T10:03:33,5.06
2025-09-01T10:03:34,5.49
2025-09-01T10:03:35,5.04
2025-09-01T10:03:36,4.92
2025-09-01T10:03:37,5.02
2025-09-01T10:03:38,5.03
2025-09-01T10:03:39,5.00
2025-09-01T10:03:40,5.14
2025-09-01T10:03:41,5.00
2025-09-01T10:03:42,5.00
2025-09-01T10:03:43,5.07
2025-09-01T10:03:44,5.10
2025-09-01T10:03:45,5.07
2025-09-01T10:03:46,5.03
2025-09-01T10:03:47,5.11
2025-09-01T10:03:48,5.08
2025-09-01T10:03:49,5.08
2025-09-01T10:03:50,5.08
2025-09-01T10:03:51,4.99
2025-09-01T10:03:52,5.64
2025-09-01T10:03:53,5.10
2025-09-01T10:03:54,5.14
2025-09-01T10:03:55,5.07
2025-09-01T10:03:56,5.12
2025-09-01T10:03:57,5.08
2025-09-01T10:03:58,4.95
2025-09-01T10:03:59,5.08
2025-09-01T10:04:00,5.01
2025-09-01T10:04:01,5.08
2025-09-01T10:04:02,5.03
2025-09-01T10:04:03,5.09
2025-09-01T10:04:04,5.07
2025-09-01T10:04:05,4.99
2025-09-01T10:04:06,4.95
2025-09-01T10:04:07,5.10
2025-09-01T10:04:08,5.07
2025-09-01T10:04:09,5.13
